BeachName,DNRID,Date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureYN,ClosureReason,MonitoringOrg
Nokomis - 50th,27-0019,2022-09-19,,,cfu,,8.8,,,Y,microcystin,MPRB
Nokomis - Main,27-0019,2022-09-19,,,cfu,,14.01,,,Y,microcystin,MPRB
Nokomis - 50th,27-0019,2022-09-27,,,cfu,,1.6,,,N,,MPRB
Nokomis - Main,27-0019,2022-09-27,,,cfu,,1.42,,,N,,MPRB
Nokomis - Main,27-0019,2023-05-22,16.8,,cfu,,0.6,,,N,,MPRB
Wirth,27-0037,2023-05-22,3.6,,cfu,,0.15,,,N,,MPRB
Harriet - Main,27-0016,2023-05-30,,,cfu,,0.15,,,N,,MPRB
Harriet - SE,27-0016,2023-05-30,,,cfu,,0.15,,,N,,MPRB
Nokomis - Main,27-0019,2023-05-30,1.5,,cfu,,0.15,,,N,,MPRB
Wirth,27-0037,2023-05-30,50.2,,cfu,,0.15,,,N,,MPRB
Harriet - Main,27-0016,2023-06-05,26.5,,cfu,,0.15,,,N,,MPRB
Harriet - SE,27-0016,2023-06-05,59.5,,cfu,,0.15,,,N,,MPRB
Hiawatha,27-0018,2023-06-05,328,,cfu,,0.15,,,N,,MPRB
Nokomis - 50th,27-0019,2023-06-05,10,,cfu,,0.15,,,N,,MPRB
Nokomis - Main,27-0019,2023-06-05,7,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-06-05,28,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-06-05,34,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-06-05,9.5,,cfu,,0.15,,,N,,MPRB
Wirth,27-0037,2023-06-05,32.5,,cfu,,0.15,,,N,,MPRB
Cedar - East,27-0039,2023-06-05,3.5,,cfu,,0.15,,,N,,MPRB
Cedar - Main,27-0039,2023-06-05,36,,cfu,,0.15,,,N,,MPRB
Cedar - Point,27-0039,2023-06-05,34.5,,cfu,,0.15,,,N,,MPRB
Harriet - Main,27-0016,2023-06-12,14.3,,cfu,,0.15,,,N,,MPRB
Harriet - SE,27-0016,2023-06-12,123.3,,cfu,,0.15,,,N,,MPRB
Hiawatha,27-0018,2023-06-12,818.25,,cfu,,0.15,,,N,,MPRB
Nokomis - 50th,27-0019,2023-06-12,16.7,,cfu,,0.15,,,N,,MPRB
Nokomis - Main,27-0019,2023-06-12,61.05,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-06-12,76.7,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-06-12,16,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-06-12,17.55,,cfu,,0.206,,,N,,MPRB
Wirth,27-0037,2023-06-12,4.25,,cfu,,0.15,,,N,,MPRB
Cedar - East,27-0039,2023-06-12,28,,cfu,,0.15,,,N,,MPRB
Cedar - Main,27-0039,2023-06-12,57.9,,cfu,,0.15,,,N,,MPRB
Cedar - Point,27-0039,2023-06-12,28.55,,cfu,,0.15,,,N,,MPRB
Harriet - Main,27-0016,2023-06-20,26.4,,cfu,,0.15,,,N,,MPRB
Harriet - SE,27-0016,2023-06-20,16.5,,cfu,,0.15,,,N,,MPRB
Hiawatha,27-0018,2023-06-20,30.2,,cfu,,0.15,,,N,,MPRB
Nokomis - 50th,27-0019,2023-06-20,10.15,,cfu,,0.15,,,N,,MPRB
Nokomis - Main,27-0019,2023-06-20,1.5,6.9,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-06-20,41.55,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-06-20,12.8,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-06-20,25.77,,cfu,,0.15,,,N,,MPRB
Wirth,27-0037,2023-06-20,68.7,17.65,cfu,,0.15,,,N,,MPRB
Cedar - East,27-0039,2023-06-20,10,,cfu,,0.15,,,N,,MPRB
Cedar - Main,27-0039,2023-06-20,20.85,,cfu,,0.15,,,N,,MPRB
Cedar - Point,27-0039,2023-06-20,7.15,,cfu,,0.15,,,N,,MPRB
Harriet - Main,27-0016,2023-06-26,33,,cfu,,0.15,,,N,,MPRB
Harriet - SE,27-0016,2023-06-26,91.4,,cfu,,0.195,,,N,,MPRB
Nokomis - 50th,27-0019,2023-06-26,532.35,,cfu,,0.15,,,N,,MPRB
Nokomis - Main,27-0019,2023-06-26,666.8,14.5,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-06-26,637.25,,cfu,,0.15,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-06-26,422.9,,cfu,,0.15,,,N,,MPRB
Wirth,27-0037,2023-06-26,58.05,30.79,cfu,,0.15,,,N,,MPRB
Cedar - East,27-0039,2023-06-26,13.7,,cfu,,0.15,,,N,,MPRB
Cedar - Main,27-0039,2023-06-26,164.35,,cfu,,0.15,,,N,,MPRB
Cedar - Point,27-0039,2023-06-26,459.2,,cfu,,0.15,,,N,,MPRB
Hiawatha,27-0018,2023-06-26,2420,,cfu,,0.15,,,Y,ecoli_1dayGM,MPRB
Bde Maka Ska - Thomas,27-0031,2023-06-26,2419.6,,cfu,,0.15,,,Y,ecoli_1dayGM,MPRB
Hiawatha,27-0018,2023-06-28,579.4,,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-06-28,87.3,,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2023-07-05,15.65,22.01,cfu,,1.5,0.103,0.189,N,,MPRB
Harriet - SE,27-0016,2023-07-05,308.5,80.66,cfu,,1.5,0.117,0.171,N,,MPRB
Nokomis - 50th,27-0019,2023-07-05,40.75,32.59,cfu,,1.5,0.05,0.15,N,,MPRB
Nokomis - Main,27-0019,2023-07-05,35.45,27.3,cfu,,1.5,0.05,0.199,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-07-05,90.6,87.58,cfu,,1.5,0.055,0.198,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-07-05,68.2,45.77,cfu,,1.5,0.05,0.252,N,,MPRB
Wirth,27-0037,2023-07-05,4.1,18.65,cfu,,1.5,0.05,0.218,N,,MPRB
Cedar - East,27-0039,2023-07-05,2.05,7.73,cfu,,1.5,0.05,0.15,N,,MPRB
Cedar - Main,27-0039,2023-07-05,77.3,56.03,cfu,,1.5,0.064,0.15,N,,MPRB
Cedar - Point,27-0039,2023-07-05,31.5,39.96,cfu,,1.5,0.05,0.184,N,,MPRB
Hiawatha,27-0018,2023-07-05,2420,543.6,cfu,,1.5,0.05,0.252,Y,ecoli_1dayGM,MPRB
Bde Maka Ska - Thomas,27-0031,2023-07-05,1378.2,107.45,cfu,,1.5,0.07,0.263,Y,ecoli_1dayGM,MPRB
Harriet - Main,27-0016,2023-07-10,5.75,16.22,cfu,,1.5,0.628,1.5,N,,MPRB
Harriet - SE,27-0016,2023-07-10,27.35,69.04,cfu,,1.5,0.837,1.5,N,,MPRB
Nokomis - 50th,27-0019,2023-07-10,4.65,27.96,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2023-07-10,1,18.5,cfu,,1.5,0.53,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-07-10,13.95,76.19,cfu,,1.5,0.826,1.5,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-07-10,1.5,24.52,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-07-10,3.6,88.5,cfu,,1.5,0.579,1.5,N,,MPRB
Wirth,27-0037,2023-07-10,1,9.3,cfu,,1.5,0.679,1.5,N,,MPRB
Cedar - East,27-0039,2023-07-10,1,6.01,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2023-07-10,13.45,46.01,cfu,,1.5,0.579,1.5,N,,MPRB
Cedar - Point,27-0039,2023-07-10,89.47,48.35,cfu,,1.5,0.53,1.5,N,,MPRB
Hiawatha,27-0018,2023-07-10,80.7,410.66,cfu,,1.5,0.653,1.5,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2023-07-17,1.33,10.09,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - SE,27-0016,2023-07-17,29.5,51.87,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2023-07-17,21.3,29.36,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2023-07-17,40,17,cfu,,2.81,0.5,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-07-17,19.5,57.93,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-07-17,13.8,23.8,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-07-17,36.4,102.4,cfu,,1.5,0.948,1.5,N,,MPRB
Wirth,27-0037,2023-07-17,1.5,7.55,cfu,,1.5,0.678,1.5,N,,MPRB
Cedar - East,27-0039,2023-07-17,1,3.09,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2023-07-17,109.25,52.24,cfu,,1.5,0.502,1.5,N,,MPRB
Cedar - Point,27-0039,2023-07-17,19.05,44.59,cfu,,1.5,0.601,1.5,N,,MPRB
Hiawatha,27-0018,2023-07-17,691.6,397.08,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2023-07-24,8.65,8.07,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - SE,27-0016,2023-07-24,37.27,61.05,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2023-07-24,15.3,31.87,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2023-07-24,15.45,27.1,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-07-24,172.55,77.02,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-07-24,14.3,24.34,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2023-07-24,1,3.24,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2023-07-24,4.15,2.59,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2023-07-24,15.6,49.3,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Point,27-0039,2023-07-24,127.75,79.37,cfu,,1.5,0.5,1.5,N,,MPRB
Hiawatha,27-0018,2023-07-24,63.75,461.07,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - Thomas,27-0031,2023-07-24,224.85,157.93,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2023-07-31,4.15,5.33,cfu,,1.5,1.5,1.5,N,,MPRB
Harriet - SE,27-0016,2023-07-31,2.05,28.56,cfu,,1.5,1.362,1.5,N,,MPRB
Nokomis - 50th,27-0019,2023-07-31,3.1,10.82,cfu,,1.5,1.315,1.568,N,,MPRB
Nokomis - Main,27-0019,2023-07-31,2.55,8.9,cfu,,1.5,1.283,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-07-31,21.55,39.12,cfu,,1.5,0.516,2.653,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-07-31,7.95,10.99,cfu,,1.5,1.299,2.128,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-07-31,245.7,99.95,cfu,,1.5,0.991,1.5,N,,MPRB
Wirth,27-0037,2023-07-31,121.15,3.75,cfu,,1.5,1.378,1.5,N,,MPRB
Cedar - East,27-0039,2023-07-31,1,1.53,cfu,,1.5,1.128,1.585,N,,MPRB
Cedar - Main,27-0039,2023-07-31,14.85,30.48,cfu,,1.5,1.525,1.56,N,,MPRB
Cedar - Point,27-0039,2023-07-31,140.2,62.6,cfu,,1.5,1.307,1.5,N,,MPRB
Hiawatha,27-0018,2023-07-31,115.85,251.06,cfu,,1.5,1.12,2.875,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2023-08-07,315.55,9.72,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - SE,27-0016,2023-08-07,20.9,16.67,cfu,,1.5,0.5,1.5,N,,MPRB
Hiawatha,27-0018,2023-08-07,63.25,121.12,cfu,,1.5,0.5,1.572,N,,MPRB
Nokomis - 50th,27-0019,2023-08-07,3.6,6.66,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2023-08-07,13.53,7.3,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-08-07,192.45,45.48,cfu,,1.5,0.5,1.622,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-08-07,92.75,11.69,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-08-07,56.4,52.75,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2023-08-07,32.3,5.67,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2023-08-07,1.5,1.44,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2023-08-07,1086.15,51.71,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Point,27-0039,2023-08-07,1336.5,132.47,cfu,,1.5,0.5,1.5,Y,ecoli_1dayGM,MPRB
Harriet - Main,27-0016,2023-08-14,49.45,14.95,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - SE,27-0016,2023-08-14,547.3,30.36,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2023-08-14,155.2,13.43,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2023-08-14,4.15,9.8,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-08-14,18.9,19.4,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-08-14,31.6,81.45,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2023-08-14,17.17,10.02,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2023-08-14,37.95,2.98,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2023-08-14,56.55,68.92,cfu,,1.5,0.5,1.5,N,,MPRB
Hiawatha,27-0018,2023-08-14,1356.65,212.99,cfu,,1.5,0.5,1.5,Y,ecoli_1dayGM,MPRB
Bde Maka Ska - 32nd,27-0031,2023-08-14,1274.65,112.21,cfu,,1.5,0.5,1.5,Y,ecoli_1dayGM,MPRB
Cedar - Point,27-0039,2023-08-14,81.45,130.01,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - 32nd,27-0031,2023-08-16,607.7,,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2023-08-21,1246.65,58.72,cfu,,1.5,0.5,2.08,N,,MPRB
Harriet - SE,27-0016,2023-08-21,28.35,30.12,cfu,,1.5,0.5,1.727,N,,MPRB
Hiawatha,27-0018,2023-08-21,34.85,117.17,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2023-08-21,7.95,11.03,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2023-08-21,5.75,6.6,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-08-21,10.7,99.52,cfu,,1.5,0.5,2.08,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-08-21,73.95,27.14,cfu,,1.5,0.5,1.607,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-08-21,13.35,66.64,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2023-08-21,435.65,31.14,cfu,,1.5,0.5,2.678,N,,MPRB
Cedar - East,27-0039,2023-08-21,1.5,3.24,cfu,,1.5,0.5,1.806,N,,MPRB
Cedar - Main,27-0039,2023-08-21,5.8,38.31,cfu,,1.5,0.5,2.171,N,,MPRB
Cedar - Point,27-0039,2023-08-21,4.65,98.06,cfu,,1.5,0.5,2.796,N,,MPRB
Harriet - Main,27-0016,2023-08-28,8.65,58.72,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - SE,27-0016,2023-08-28,4.15,19.42,cfu,,1.5,0.5,1.5,N,,MPRB
Hiawatha,27-0018,2023-08-28,19.1,92.07,cfu,,1.77,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2023-08-28,6.95,9.42,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2023-08-28,5.75,5.4,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2023-08-28,330.55,113.33,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Main,27-0031,2023-08-28,57.57,35.86,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2023-08-28,1016.35,90.11,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2023-08-28,220.4,91.6,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2023-08-28,4.65,3.31,cfu,,2.527,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2023-08-28,1.5,23.98,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Point,27-0039,2023-08-28,188.65,106.01,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2024-05-20,4.65,,cfu,,1.5,,,N,,MPRB
Wirth,27-0037,2024-05-20,7.13,,cfu,,1.5,,,N,,MPRB
Nokomis - Main,27-0019,2024-05-28,62.97,,cfu,,1.68,,,N,,MPRB
Wirth,27-0037,2024-05-28,9.7,,cfu,,1.5,,,N,,MPRB
Harriet - Main,27-0016,2024-06-03,94.7,,cfu,,1.5,,,N,,MPRB
Harriet - SE,27-0016,2024-06-03,88.55,,cfu,,1.5,,,N,,MPRB
Hiawatha,27-0018,2024-06-03,1034.85,,cfu,,1.5,,,N,,MPRB
Nokomis - 50th,27-0019,2024-06-03,11.45,,cfu,,1.5,,,N,,MPRB
Nokomis - Main,27-0019,2024-06-03,22.9,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2024-06-03,126.3,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2024-06-03,224.85,,cfu,,1.5,,,N,,MPRB
Wirth,27-0037,2024-06-03,51.5,,cfu,,1.5,,,N,,MPRB
Cedar - East,27-0039,2024-06-03,5.9,,cfu,,1.5,,,N,,MPRB
Cedar - Main,27-0039,2024-06-03,47.55,,cfu,,1.5,,,N,,MPRB
Cedar - Point,27-0039,2024-06-03,65.15,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2024-06-03,1528.57,,cfu,,1.5,,,Y,ecoli_1dayGM,MPRB
Bde Maka Ska - 32nd,27-0031,2024-06-05,15.83,,cfu,,1.5,,,N,,MPRB
Harriet - Main,27-0016,2024-06-10,5.35,,cfu,,1.5,,,N,,MPRB
Harriet - SE,27-0016,2024-06-10,7.5,,cfu,,1.5,,,N,,MPRB
Hiawatha,27-0018,2024-06-10,93.3,,cfu,,1.5,,,N,,MPRB
Nokomis - 50th,27-0019,2024-06-10,1,,cfu,,1.5,,,N,,MPRB
Nokomis - Main,27-0019,2024-06-10,2.55,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2024-06-10,8.85,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2024-06-10,48,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2024-06-10,1,,cfu,,1.5,,,N,,MPRB
Wirth,27-0037,2024-06-10,10.35,,cfu,,1.5,,,N,,MPRB
Cedar - East,27-0039,2024-06-10,1,,cfu,,1.5,,,N,,MPRB
Cedar - Main,27-0039,2024-06-10,5.3,,cfu,,1.5,,,N,,MPRB
Cedar - Point,27-0039,2024-06-10,9.05,,cfu,,1.5,,,N,,MPRB
Harriet - Main,27-0016,2024-06-17,115.75,,cfu,,1.5,,,N,,MPRB
Hiawatha,27-0018,2024-06-17,796.75,,cfu,,1.5,,,N,,MPRB
Nokomis - 50th,27-0019,2024-06-17,44.9,,cfu,,1.5,,,N,,MPRB
Nokomis - Main,27-0019,2024-06-17,30.95,13.95,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2024-06-17,248.1,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2024-06-17,170.45,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2024-06-17,93.97,,cfu,,1.5,,,N,,MPRB
Wirth,27-0037,2024-06-17,19.5,14.84,cfu,,1.5,,,N,,MPRB
Cedar - East,27-0039,2024-06-17,28.5,,cfu,,1.5,,,N,,MPRB
Cedar - Main,27-0039,2024-06-17,402.95,,cfu,,1.5,,,N,,MPRB
Cedar - Point,27-0039,2024-06-17,20,,cfu,,1.5,,,N,,MPRB
Harriet - SE,27-0016,2024-06-17,1356.65,,cfu,,1.5,,,Y,ecoli_1dayGM,MPRB
Harriet - SE,27-0016,2024-06-20,70.5,,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2024-06-24,78.15,,cfu,,2.14,,,N,,MPRB
Harriet - SE,27-0016,2024-06-24,54.8,,cfu,,1.5,,,N,,MPRB
Hiawatha,27-0018,2024-06-24,294.8,,cfu,,1.5,,,N,,MPRB
Nokomis - 50th,27-0019,2024-06-24,122.85,,cfu,,1.5,,,N,,MPRB
Nokomis - Main,27-0019,2024-06-24,30.7,20.35,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2024-06-24,126,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2024-06-24,173.35,,cfu,,1.5,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2024-06-24,314.35,,cfu,,1.5,,,N,,MPRB
Wirth,27-0037,2024-06-24,108.05,25.55,cfu,,1.5,,,N,,MPRB
Cedar - East,27-0039,2024-06-24,55.83,,cfu,,1.5,,,N,,MPRB
Cedar - Main,27-0039,2024-06-24,93.6,,cfu,,1.5,,,N,,MPRB
Cedar - Point,27-0039,2024-06-24,55.05,,cfu,,1.5,,,N,,MPRB
Harriet - SE,27-0016,2024-07-01,377.7,113.27,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2024-07-01,6.85,13.4,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2024-07-01,36.1,18.21,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2024-07-01,291.65,72.02,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2024-07-01,9.65,25.53,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2024-07-01,2,7.16,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2024-07-01,23.77,46.86,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Point,27-0039,2024-07-01,12.4,24.05,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - Main,27-0016,2024-07-01,1618,94.19,cfu,,1.5,0.5,1.5,Y,ecoli_1dayGM,MPRB
Hiawatha,27-0018,2024-07-01,159.05,324.66,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - 32nd,27-0031,2024-07-01,267.65,162.46,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - Main,27-0031,2024-07-01,206.25,129.87,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2024-07-08,15.45,65.55,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2024-07-08,42.85,17.45,cfu,,1.86,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2024-07-08,106.4,24.76,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2024-07-08,78.7,89.76,cfu,,1.5,0.5,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2024-07-08,35.1,49.67,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2024-07-08,10.85,18.69,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2024-07-08,4.2,6.69,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2024-07-08,6.45,31.42,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Point,27-0039,2024-07-08,84.9,25.36,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - SE,27-0016,2024-07-08,216.95,135.51,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Hiawatha,27-0018,2024-07-08,179.15,228.61,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - Main,27-0031,2024-07-08,241.8,147.88,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Nokomis - 50th,27-0019,2024-07-15,55.4,38.95,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - Main,27-0019,2024-07-15,89.55,50.45,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2024-07-15,23.5,21.11,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2024-07-15,69.8,15.63,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Main,27-0039,2024-07-15,102.3,56.8,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Point,27-0039,2024-07-15,32.8,32.81,cfu,,1.5,0.5,1.54,N,,MPRB
Harriet - Main,27-0016,2024-07-15,257.97,142.27,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Harriet - SE,27-0016,2024-07-15,654.05,331.19,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Hiawatha,27-0018,2024-07-15,829.65,353.92,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - Main,27-0031,2024-07-15,2419.8,323.91,cfu,,1.5,0.5,1.5,Y,ecoli_1dayGM,MPRB
Bde Maka Ska - 32nd,27-0031,2024-07-15,1190.85,239.27,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - Thomas,27-0031,2024-07-15,263.4,151.44,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2024-07-22,14,93.25,cfu,,1.5,0.5,1.5,N,,MPRB
Nokomis - 50th,27-0019,2024-07-22,633.05,66.13,cfu,,1.977,0.679,1.5,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2024-07-22,30,120.52,cfu,,1.5,0.5,1.5,N,,MPRB
Wirth,27-0037,2024-07-22,326.35,37.09,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - East,27-0039,2024-07-22,7.75,12.05,cfu,,1.5,0.839,1.5,N,,MPRB
Cedar - Main,27-0039,2024-07-22,95.75,42.62,cfu,,1.5,0.5,1.5,N,,MPRB
Cedar - Point,27-0039,2024-07-22,42.85,38.21,cfu,,1.5,0.5,1.5,N,,MPRB
Harriet - SE,27-0016,2024-07-22,41.4,164.81,cfu,,1.5,0.5,1.5,Y,ecoli_30dayGM,MPRB
Hiawatha,27-0018,2024-07-22,2420,441.97,cfu,,1.5,0.62,1.5,Y,ecoli_1dayGM,MPRB
Nokomis - Main,27-0019,2024-07-22,98.3,63.57,cfu,,6.563,0.5,1.5,Y,microcystin,MPRB
